time (day)	h (ft)
3.864583345	1.175508
3.868055567	1.173196
3.871527789	1.178004
3.875000012	1.177548
3.878472234	1.181758
3.881944456	1.184271
3.885416678	1.188248
3.8888889	1.1904
3.892361123	1.193077
3.895833345	1.192496
3.899305567	1.193518
3.902777789	1.195136
3.906250012	1.204853
3.909722234	1.202327
3.913194456	1.201655
3.916666678	1.204405
3.9201389	1.207686
3.923611123	1.207948
3.927083345	1.211087
3.930555567	1.214227
3.934027789	1.219962
3.937500012	1.218779
3.940972234	1.222863
3.944444456	1.22057
3.947916678	1.222201
3.9513889	1.225457
3.954861123	1.222515
3.958333345	1.229402
3.961805567	1.227327
3.965277789	1.229812
3.968750012	1.234771
3.972222234	1.238227
3.975694456	1.238857
3.979166678	1.238898
3.9826389	1.238238
3.986111123	1.24332
3.989583345	1.242247
3.993055567	1.247844
3.996527789	1.246794
4.000000012	1.250902
4.003472234	1.250695
4.006944456	1.255595
4.010416678	1.253999
4.0138889	1.258915
4.017361123	1.258416
4.020833345	1.256497
4.024305567	1.26615
4.027777789	1.267524
4.031250012	1.266049
4.034722234	1.266536
4.038194456	1.279599
4.041666678	1.27469
4.0451389	1.281008
4.048611123	1.280426
4.052083345	1.284021
4.055555567	1.289965
4.059027789	1.28506
4.062500012	1.286153
4.065972234	1.295888
4.069444456	1.293921
4.072916678	1.295266
4.0763889	1.297691
4.079861123	1.303339
4.083333345	1.301253
4.086805567	1.30238
4.090277789	1.307137
4.093750012	1.305948
4.097222234	1.312408
4.100694456	1.314319
4.104166678	1.312551
4.1076389	1.313193
4.111111123	1.321851
4.114583345	1.319818
4.118055567	1.320548
4.121527789	1.321068
4.125000012	1.32476
4.128472234	1.325315
4.131944456	1.329045
4.135416678	1.332429
4.1388889	1.333929
4.142361123	1.335649
4.145833345	1.339608
4.149305567	1.338304
4.152777789	1.339583
4.156250012	1.34248
4.159722234	1.345979
4.163194456	1.349117
4.166666678	1.348522
4.1701389	1.351406
4.173611123	1.352768
4.177083345	1.356488
4.180555567	1.355897
4.184027789	1.36314
4.187500012	1.358136
4.190972234	1.366271
4.194444456	1.366401
4.197916678	1.369316
4.2013889	1.369717
4.204861123	1.369482
4.208333345	1.375559
4.211805567	1.379832
4.215277789	1.379832
4.218750012	1.3824
4.222222234	1.382637
4.225694456	1.385832
4.229166678	1.389321
4.2326389	1.390846
4.236111123	1.39587
4.239583345	1.3982
4.243055567	1.400796
4.246527789	1.400822
4.250000012	1.404723
4.253472234	1.406926
